bird,sex,group,age,wt_55,Bursa_pool,Ileum_pool,SSgroup.virus.sac,SSgroup.virus.avg,SSgroup.I2.graph,virus.sac,virus.avg,virus.dpi1,virus.dpi2,virus.dpi3,virus.dpi4,virus.dpi5,virus.dpi8,virus.dpi11,virus.dpi13,virus.dpi15,virus.avg.dpi2,virus.avg.dpi3,virus.avg.dpi4,virus.avg.dpi5,virus.avg.dpi15,Rsum.dpi2,Rsum.dpi3,Rsum.dpi4,Rsum.dpi5,bursa,ileum,Cecum.BB,Cecum.CC,Cecum.Crypts,Colon.BB,Colon.CC,Colon.Crypts,Ileum.BB,Ileum.CC,Ileum.Crypts,Proximal.BB,Proximal.CC,Proximal.Crypts,AB_DPI_5,AB_DPI_8,AB_DPI_11,AB_DPI_15,AB_DPI_22,AB_DPI_29,AB_sum,AB_avg,sac_wt,RINbursa,RINbursa_seq,RINileum,RINileum_seq,lab_RINileum,Metric.virus.sac,Metric.virus.avg,SSMetric.virus.sac,SSMetric.virus.avg,virus.avg.15dpi,virus.sum.dpi1to29,nest,hatchdate,room,sacdate,bcs,wound,droop,shedstat_OLD,shedstat_spec,shedstat_conf,shedavg,sacdayshed,X20.80_group,X20.80_groupM,SS_group_A1,Confident.SS_Group.x
78,FEMALE,I-2,58,760,MSU_5,UMN,MODERATE,HIGH,HIGH,2337.83,227903.93,453470.03,2337.83,NA,NA,NA,NA,NA,NA,NA,227903.93,NA,NA,NA,NA,455807.86,NA,NA,NA,808800.75,1347765.19,75.5,75.5,26,1,2.5,11,35,35,57.5,0.714285714,2.857142857,1.5,NA,NA,NA,NA,NA,NA,NA,NA,760,10,10,5.1,5.1,UMN,three,five,LOW,HIGH,227903.93,455807.86,663,13-Jul,108,9/11/2015,4,N,N,S,H,H,11224166.67,115000,High,High,High,High
71,MALE,I-2,60,790,MSU_5,MSU_6,MODERATE,LOW,LOW,1.396666667,40.075,78.75,1.4,NA,NA,NA,NA,NA,NA,NA,40.08,NA,NA,NA,NA,80.15,NA,NA,NA,0,7504.11,80,80,71,39.5,39.5,17,80,42.5,75.5,80,80,75.5,NA,NA,NA,NA,NA,NA,NA,NA,790,10,10,9.089697069,9.089697069,MSU,zero,one,LOW,LOW,40.08,80.15,512,11-Jul,108,9/11/2015,5,N,N,L,L,NA,1972.666667,68.666667,,,Low,NA
38,FEMALE,I-2,75,860,MSU_3,MSU_6,LOW,MODERATE,LOW,0,2047.24,4094.48,0,NA,NA,NA,NA,NA,NA,NA,2047.24,NA,NA,NA,NA,4094.48,NA,NA,NA,8242.495,15185.54,0,2.5,5,1.5,0,7.5,46.25,11.25,3,0,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,850,9.870878261,9.870878261,8.9,8.9,MSU,zero,three,LOW,LOW,2047.24,4094.48,157,26-Jun,108,9/11/2015,4,N,N,L,M,NA,100666.6667,0,,,Moderate,NA
16,FEMALE,I-2,87,890,MSU_1,MSU_5,LOW,LOW,LOW,0,132.93,265.86,0,NA,NA,NA,NA,NA,NA,NA,132.93,NA,NA,NA,NA,265.86,NA,NA,NA,302,159.28,21.66666667,11.66666667,0,11,1.5,0.5,5.555555556,0,0,0,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,830,9.353319459,9.353319459,9.068786778,9.068786778,MSU,zero,two,LOW,LOW,132.93,265.86,95,14-Jun,107,9/11/2015,5,N,N,L,M,NA,6550,0,,,Moderate,NA
43,FEMALE,I-2,72,875.4,MSU_3,MSU_6,LOW,LOW,LOW,0,1.895,3.79,0,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,3.79,NA,NA,NA,3134.51,0,53,16,7,44,41,0,71,9,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,490,10,10,8.658154755,8.658154755,MSU,zero,zero,LOW,LOW,1.9,3.79,168,29-Jun,108,9/11/2015,3,N,N,L,L,NA,93.25,0,,,Low,NA
20,MALE,I-2,83,905,MSU_2,MSU_5,LOW,LOW,LOW,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,208.97,818.99,0.8,0.7,7.7,71,32.7,1,35,14.6,4.4,17.7,18,24.8,NA,NA,NA,NA,NA,NA,NA,NA,890,10,10,9.956216059,9.956216059,MSU,zero,zero,LOW,LOW,0,0,115,18-Jun,107,9/11/2015,3,N,Y,L,L,NA,0,0,,,Low,NA
63,MALE,I-5,64,780,MSU_4,UMN,HIGH,HIGH,NA,2704429.313,540908.102,63.74,47.31,0.15,0,2704429.31,NA,NA,NA,NA,55.53,540908.1,27.8,540908.1,NA,111.05,111.2,111.2,2704540.52,377677.315,537940.86,80,80,80,66.5,66.5,80,80,80,80,4,4,20,4,NA,NA,NA,NA,NA,4,4,790,10,10,6.3,6.3,UMN,six,five,HIGH,HIGH,540908.1,2704540.52,490,7-Jul,107,9/25/2015,4,N,N,NA,H,H,26651094.89,133250000.1,High,High,High,High
75,MALE,I-5,59,760,MSU_5,MSU_6,HIGH,MODERATE,NA,62850.24667,25320.402,15536.13,2549.43,45662.23,3.97,62850.25,NA,NA,NA,NA,9042.78,25320.4,15937.94,25320.4,NA,18085.56,63747.78,63751.75,126602,295336.925,194661.98,80,80,37.5,62,57.5,23,NA,NA,20,1,3,3,32,NA,NA,NA,NA,NA,32,32,760,10,10,8.4226987,8.4226987,MSU,four,four,MODERATE,MODERATE,25320.4,126602,666,12-Jul,107,9/28/2015,3,N,N,M,M,M,1246787.767,3093333.333,Low,Moderate,Moderate,Moderate
55,MALE,I-5,66,1020,MSU_4,UMN,HIGH,HIGH,NA,45843.90333,96437.65,307701.36,NA,17909.39,14295.95,45843.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17897.265,16168.955,53.33333333,50,35,27.5,12.5,4.5,NA,NA,2.857142857,0,3.5,2,16,NA,NA,NA,NA,NA,16,16,890,10,10,6.3,6.3,UMN,four,NA,MODERATE,NA,96437.65,385750.6,665,5-Jul,107,9/23/2015,4,N,N,S,H,H,4748000,2256667,High,High,High,High
74,MALE,I-5,58,810,MSU_5,,MODERATE,LOW,NA,10954.24333,9158.922,9542.42,162.44,22755.03,2380.48,10954.24,NA,NA,NA,NA,4852.43,9158.92,8710.09,9158.92,NA,9704.86,32459.88,34840.36,45794.61,288111.075,7375356.5,35,35,23,20,20,5,3.5,5,3,2.5,10.5,1,0,NA,NA,NA,NA,NA,0,0,810,10,10,8.1,NA,UMN,four,three,MODERATE,LOW,9158.92,45794.61,663,13-Jul,107,9/27/2015,4,N,N,M,M,M,451000.6667,539333.333,Low,Moderate,Moderate,Moderate
26,MALE,I-5,79,900,MSU_2,MSU_5,MODERATE,HIGH,NA,4654.993333,103173.942,70064.26,2112.48,434538.73,4499.25,4654.99,NA,NA,NA,NA,36088.37,103173.94,127803.68,103173.94,NA,72176.74,506715.47,511214.72,515869.71,80320.505,134346.08,0,5,0,6,4,1,0,1.5,0.5,0,4,0,32,NA,NA,NA,NA,NA,32,32,950,9.819677608,9.819677608,8.618283645,8.618283645,MSU,three,five,LOW,HIGH,103173.94,515869.71,182,22-Jun,107,9/18/2015,4,N,N,M,H,H,5074250.001,229000,High,High,High,High
53,FEMALE,I-5,68,806.4,MSU_3,MSU_6,MODERATE,MODERATE,NA,1198.903333,47289.186,109186.55,33107.3,92766.19,186.99,1198.9,NA,NA,NA,NA,71146.93,47289.19,58811.76,47289.19,NA,142293.85,235060.05,235247.03,236445.94,114850.03,116188.105,1.666666667,5,4.5,63.125,5,4,5,5,2.777777778,0,1,1.5,32,NA,NA,NA,NA,NA,32,32,750,10,10,8.171955221,8.171955221,MSU,three,four,LOW,MODERATE,47289.19,236445.94,202,3-Jul,107,9/22/2015,4,N,N,S,H,H,2328337.5,59166.67,Low,Moderate,High,High
42,MALE,I-5,72,830,MSU_3,,MODERATE,LOW,NA,919.12,3744.632,0,4272.56,5441.27,8090.21,919.12,NA,NA,NA,NA,2136.28,3744.63,4451.01,3744.63,NA,4272.56,9713.83,17804.04,18723.16,50769.325,1191820.41,3,4,2,10.5,10,0.5,28.33333333,18.33333333,2.222222222,3.75,5,3,0,NA,NA,NA,NA,NA,0,0,840,9.875415935,9.875415935,4.5,NA,UMN,two,three,LOW,LOW,3744.63,18723.16,168,29-Jun,107,9/20/2015,4,Y,N,M,L,L,195829.8333,45232.5,Low,Low,Low,Low
